user,rate,num_participated,country
tourist,3686,150,Belarus
LHiC,3330,129,Россия
wxhtxdy,3329,97,Samoa
mnbvmar,3296,79,Польша
Benq,3294,67,United States
sunset,3279,36,China
V--o_o--V,3275,123,Россия
ecnerwala,3220,68,United States
yutaka1999,3190,47,Япония
xyz111,3147,17,China
ainta,3120,156,South Korea
maroonrk,3118,19,Япония
Radewoosh,3117,126,Польша
Petr,3115,143,Россия
dotorya,3096,82,South Korea
CauchySheep,3056,12,China
fateice,3055,30,China
SkyDec,3023,53,China
ksun48,3020,138,Canada
ershov.stanislav,3020,92,Россия
rng_58,3006,117,Япония
scott_wu,3005,88,United States
cki86201,3005,63,South Korea
300iq,3005,94,Россия
ACRush,2996,48,China
Endagorion,2973,156,Россия
krijgertje,2964,33,Netherlands
Errichto,2963,105,Польша
lych_cys,2963,21,China
whzzt,2945,35,China
shanquan2,2935,40,China
yosupo,2923,96,Япония
Kostroma,2919,182,Россия
OnionPringles,2910,24,South Korea
TankEngineer,2904,58,China
SpyCheese,2903,41,Россия
TLE,2885,53,China
aid,2880,180,Россия
receed,2861,63,Россия
Egor,2860,210,Germany
Marcin_smu,2859,109,Польша
matthew99,2843,108,China
ko_osaga,2843,95,South Korea
neal,2836,70,United States
Reyna,2826,149,Iran
I_love_Tanya_Romanova,2824,228,Ukraine
Merkurev,2824,126,Россия
gisp_zjz,2821,35,China
snuke,2811,106,Япония
zemen,2810,164,Россия
Vn_nV,2810,22,Taiwan
Alex_2oo8,2807,120,Latvia
ToTLeS,2800,81,Iran
mmaxio,2798,210,Россия
WA_TLE,2796,39,Япония
majk,2792,48,Czechia
PavelKunyavskiy,2791,146,Россия
kostka,2784,87,Польша
zeliboba,2783,170,Россия
JOHNKRAM,2779,52,China
step_by_step,2779,81,Россия
kczno1,2777,20,China
hos.lyric,2776,83,Япония
tqyaaaaang,2764,59,China
Swistakk,2759,145,Польша
uwi,2752,259,Япония
abacabadabacaba,2750,56,Россия
yokozuna57,2749,78,Япония
mango_lassi,2749,72,Finland
tlwpdus,2747,33,South Korea
Subconscious,2746,33,China
black_horse2014,2744,36,North Korea
tzuyu_chou,2743,13,Taiwan
HIR180,2742,99,Япония
voover,2741,131,Польша
RomaWhite,2739,121,Ukraine
ilyakor,2737,137,Швейцария
scanhex,2728,60,Россия
orbitingflea,2727,23,China
niyaznigmatul,2726,116,Россия
Deemo,2723,115,Canada
VArtem,2721,117,Россия
hank55663,2720,111,Taiwan
nhho,2719,143,Гонконг
dreamoon_love_AA,2716,255,Taiwan
geniucos,2716,109,Romania
amethyst0,2714,66,Россия
natsugiri,2710,232,Япония
Golovanov399,2709,190,Россия
_rqy,2706,31,China
Arterm,2705,170,Belarus
simonlindholm,2702,32,Sweden
gs12117,2700,61,South Korea
ekzhang,2699,25,United States
retrograd,2699,63,Romania
khsoo01,2694,45,South Korea
jonathanirvings,2686,61,Indonesia
mjhun,2686,43,Argentina
sevenkplus,2684,57,China
FizzyDavid,2684,76,China
ohweonfire,2683,55,China
betaveros,2675,18,Taiwan
KrK,2670,237,Lithuania
littlelittlehorse,2665,21,China
supy,2664,13,China
Batrr,2664,53,Kazakhstan
Shik,2661,188,Taiwan
senek_k,2654,55,Россия
zyb,2654,14,China
tmwilliamlin168,2654,29,Taiwan
ugly2333,2649,54,China
gepardo,2642,81,Belarus
DEGwer,2641,78,Япония
AlexDmitriev,2638,188,Россия
JustasK,2633,77,Lithuania
Hezhu,2632,30,China
izban,2630,147,Россия
desert97,2629,53,United States
_Happy_New_Year_,2628,14,China
.o.,2626,123,South Korea
chemthan,2622,123,Вьетнам
Elegia.Inferno,2621,24,China
Will_Dearborn,2619,13,United States
djq_cpp,2618,31,China
Xellos,2614,104,Slovakia
RNS_CUS,2614,23,North Korea
gamegame,2613,43,Гонконг
vlecomte,2612,31,Belgium
sigma425,2611,87,Япония
Lewin,2608,86,United States
samjia2000,2603,22,China
SirShokoladina,2599,132,Россия
BaconLi,2599,79,China
Hazyknight,2597,52,China
chenjb,2594,29,China
mrscherry,2593,13,South Korea
zhouyuyang,2592,27,China
--d,2591,41,Canada
kmjp,2589,206,Япония
cz_yixuanxu,2588,9,China
bip_oqq,2581,16,China
isaf27,2580,60,Россия
UnstoppableSolveMachine,2580,122,Россия
InuyamaAoi,2578,40,South Korea
xiaowuc1,2575,71,United States
Shayan,2572,107,Iran
Madball,2569,45,Россия
satashun,2567,81,Япония
FatalEagle,2565,80,Canada
pashka,2564,39,Россия
volamtruyenkyii,2564,12,Вьетнам
al13n,2563,200,United States
AndreySergunin,2563,131,Россия
593119681,2563,16,China
aitch,2563,26,Sweden
zhangzy,2561,12,China
darnley,2560,33,Россия
SebinKim,2559,66,South Korea
eddy1021,2557,131,Taiwan
ywwyww,2554,8,China
ania,2553,50,Польша
DmitryGrigorev,2553,106,Россия
AghaTizi,2551,21,Iran
Anadi,2550,57,Польша
MrDindows,2549,213,Ukraine
ATS,2549,68,Япония
BigBag,2545,166,Ukraine
yhx-12243,2542,7,China
LiTi,2540,99,Iran
LayCurse,2539,107,Япония
thjchph4trjnh,2539,15,Вьетнам
sqrtdecompton,2538,82,United States
Haghani,2534,85,Iran
HanaElhami,2533,14,Iran
function348,2529,17,China
oxytocyna,2529,38,Польша
NightGlow,2529,5,China
PhoenixEclipse,2528,36,China
zjczzzjczjczzzjc,2527,23,China
Jacob,2526,33,Россия
kefaa2,2524,49,Belarus
Chameleon2460,2523,54,Польша
TangentDay,2523,69,Япония
panole,2521,10,China
Rafbill,2518,115,France
E869120,2518,17,Япония
mareksom,2515,75,Польша
cerberus97,2515,112,India
LaiMeiyun,2515,3,China
RAVEman,2514,163,Ukraine
